,Attraction,Keywords
0,Baga Beach ,"['skiing', 'water', 'beach', 'year', 'sport', 'sand', 'tourist', 'cruise', 'windsurfing', 'jet', 'extension', 'km']"
1,Juhu Beach ,"['beach', 'tourist', 'thing', 'fee', 'tee', 'number', 'cream', 'sunbath', 'sun', 'air', 'glimpse', 'food', 'lawyer', 'day', 'hotel', 'shooting', 'train', 'street', 'station', 'stall']"
2,Calangute Beach ,"['water', 'surfing', 'sailing', 'skiing', 'beach', 'opportunity', 'ride', 'activity', 'bump', 'km']"
3,Elephanta Island ,"['island', 'boat', 'cave', 'pm', 'temple', 'tourist', 'sculpture', 'belief', 'century', 'practice', 'matter', 'target', 'posture', 'city', 'ceiling', 'fort', 'hundred', 'history', 'ad', 'beam']"
4,Cherai Beach ,"['beach', 'island', 'activity', 'water', 'shoreline', 'end', 'sand', 'boat', 'tree', 'variety', 'coconut', 'palm', 'sport', 'land']"
5,Fort Kochi Beach ,"['beach', 'village', 'city', 'water', 'settlement', 'sport', 'sailing', 'diving', 'surfing', 'coastline', 'era', 'kayaking', 'reminiscent', 'fort', 'ship', 'highlight', 'week', 'km', 'time', 'canoeing']"
6,New Digha ,"['centre', 'park', 'science', 'addition', 'attraction', 'opportunity', 'accommodation', 'tourist', 'lake', 'part', 'facility', 'beach', 'list', 'hotel', 'extension', 'hotspot']"
7,Talasari ,"['water', 'delta', 'border', 'beach', 'sea', 'km']"
8,Digha Beach ,"['beach', 'attraction', 'stall', 'wave', 'bench', 'sight', 'activity', 'sea', 'catch', 'park', 'day', 'area', 'food', 'fisherman']"
9,Subarnarekha River ,"['sea', 'beach', 'meeting', 'car', 'walk', 'tourist', 'border', 'highway', 'confluence', 'village', 'river', 'point', 'km']"
10,Ramakrishna Beach ,"['beach', 'activity', 'water', 'sunrise', 'coastline', 'seafront', 'kind', 'surroundings', 'part', 'sea', 'surfing', 'traveller', 'coast', 'boat', 'country', 'fishing', 'wind', 'sunset', 'view', 'angling']"
11,Rishikonda Beach ,"['water', 'beach', 'lover', 'surfing', 'adventure', 'wind', 'nature', 'skiing', 'foliage', 'swimming', 'wave', 'sand', 'destination', 'sport', 'stretch', 'plant']"
